"","Progeny","CWT_WEO","CCT_WEO","CAWT_WEO","MotherID","FatherID","CWT_SAL1","CCT_SAL1","CAWT_SAL1","CWT_SAL2","CCT_SAL2","CAWT_SAL2"
"252","bTCfdFQZXP",595.9,29,20.548275862069,"R9KUKOjnBl","Hpkn8ytvLF",378.665,13.3333333333333,28.1096184533333,167.875,7.83333333333333,21.7879294166667
"253","ovMPlNMAKT",400.9,11,36.4454545454545,"R9KUKOjnBl","Hpkn8ytvLF",232.8725,11.9166666666667,20.5761010733333,88.9975,5.02777777777778,16.6885445466667
"254","TgmkKkxV7z",273.7,9,30.4111111111111,"R9KUKOjnBl","Hpkn8ytvLF",450.263333333333,19.5833333333333,23.2808943366667,346.230555555556,12.9166666666667,26.9081329333333
"255","IwFCC9gonq",507.5,15,33.8333333333333,"R9KUKOjnBl","aYPWOlVSjP",677.6125,22,30.9573282066667,513.885,15.75,32.2740829133333
"256","RBMXONYdzC",483.9,14,34.5642857142857,"R9KUKOjnBl","aYPWOlVSjP",665.165,26.5833333333333,25.50247166,598.815,24.4166666666667,24.4479339133333
"257","EMcfJQStSE",859.8,27,31.8444444444444,"R9KUKOjnBl","aYPWOlVSjP",760.691666666667,25.1666666666667,30.2931112533333,647.235833333334,21.8333333333333,29.5407422333333
"258","0ZHPkCgP7O",331.1,7,47.3,"R9KUKOjnBl","aYPWOlVSjP",526.369166666667,18.5,28.5178947233333,616.7925,23,26.81706522
"259","V9234Pw3OG",820.4,22,37.2909090909091,"R9KUKOjnBl","aYPWOlVSjP",575.955833333333,21.1666666666667,27.4040798066667,741.093333333333,27.75,26.72849354
"260","toDpn5Xpsi",734.3,21,34.9666666666667,"R9KUKOjnBl","aYPWOlVSjP",764.503333333333,25.6666666666667,29.8074224233333,NA,NA,NA
"261","I14wTy9KGK",1175,39,30.1282051282051,"R9KUKOjnBl","aYPWOlVSjP",785.8175,25.3333333333333,31.0298631,856.304166666667,32.0833333333333,26.73311465
"262","II4AsPzga5",148.8,3,49.6,"R9KUKOjnBl","aYPWOlVSjP",725.483333333333,26,27.8404920166667,605.026666666667,26.5833333333333,22.6685606266667
"263","HWBrSGplVb",0,0,NA,"R9KUKOjnBl","7iBAbH6Nzf",171.629166666667,12.0833333333333,13.7334719933333,191.1725,15.1666666666667,12.5379438066667
"264","oCuF5dfnB2",0,0,NA,"R9KUKOjnBl","7iBAbH6Nzf",65.6483333333334,3.83333333333334,16.4680740766667,68.2541666666667,5,13.3648994733333
"265","2cjL0zqwRD",72.2,3,24.0666666666667,"R9KUKOjnBl","7iBAbH6Nzf",43.8333333333334,2.58333333333334,14.67287037,64.5475,8.66666666666667,8.23565972233333
"266","c0CQ8PgJbn",29.4,1,29.4,"R9KUKOjnBl","7iBAbH6Nzf",90.365,5.66666666666667,14.4515426003333,46.2333333333333,4.16666666666667,14.8994117646667
"267","ySTAnwG394",0,0,NA,"R9KUKOjnBl","7iBAbH6Nzf",109.1625,6,16.58644285,45.0408333333333,3.25,14.2590995663333
"268","2EPJHbnvVH",104.8,6,17.4666666666667,"R9KUKOjnBl","7iBAbH6Nzf",194.066666666667,15.6666666666667,12.4745511166667,129.433333333333,12.75,10.0978009193333
"269","1u271NH2U2",36.7,1,36.7,"R9KUKOjnBl","7iBAbH6Nzf",200.068333333333,18.75,10.7351063883333,109.330833333333,12,8.99762963
"271","vYLZ0l7Vml",332.4,8,41.55,"Cr6mrdgibP","52QKSimTco",883.075833333333,27.5833333333333,32.2287991066667,686.009166666667,26,26.3702148566667
"272","geJa3ShnnY",888.8,31,28.6709677419355,"Cr6mrdgibP","52QKSimTco",1002.4325,29.5,34.1488939166667,707.275833333333,23.6666666666667,30.1202651333333
"273","CEAbp1qyN3",645.4,22,29.3363636363636,"Cr6mrdgibP","52QKSimTco",332.6,12.3333333333333,26.7734712366667,281.504166666667,10.8333333333333,27.0768827866667
"274","iD3GlD7Z1H",0,0,NA,"Cr6mrdgibP","52QKSimTco",553.249166666667,14.4166666666667,38.2253565933333,555.804166666667,16.5,34.31022851
"275","jRrtEbR39M",728.6,26,28.0230769230769,"Cr6mrdgibP","52QKSimTco",615.3425,20.5833333333333,30.5167902266667,539.565833333333,18.6666666666667,29.11752399
"276","AcTtnGcbzL",562.5,20,28.125,"Cr6mrdgibP","52QKSimTco",789.489166666667,22.75,34.91321973,626.999166666667,21.75,28.9873933433333
"277","lAcmYOXXSD",582.6,17,34.2705882352941,"Cr6mrdgibP","52QKSimTco",596.75,18.6666666666667,32.4128175166667,535.870833333334,18.1666666666667,29.4508092233333
"278","GP3t3q9fV8",229.5,7,32.7857142857143,"Cr6mrdgibP","52QKSimTco",411.3875,15.9166666666667,26.1887340966667,275,11.1666666666667,24.6364915566667
"279","k12l9twAMl",723.8,25,28.952,"Cr6mrdgibP","1MNP3T7ww2",520.150833333333,15.6666666666667,33.02168064,514.564166666667,17.75,29.03701154
"280","80VQnUiM0f",891.3,32,27.853125,"Cr6mrdgibP","1MNP3T7ww2",871.895,25.0833333333333,34.8537473866667,792.753333333333,24.1666666666667,33.0924875633333
"281","hlOVPuNqRf",946.7,36,26.2972222222222,"Cr6mrdgibP","1MNP3T7ww2",610.1575,20,30.5421648766667,646.8375,23.5,27.37459216
"282","dlLpfxxvZl",965.6,36,26.8222222222222,"Cr6mrdgibP","1MNP3T7ww2",782.8425,25.9166666666667,30.2159529666667,580.735,21.0833333333333,27.3434570433333
"283","uiQQwAGk5e",660.4,23,28.7130434782609,"Cr6mrdgibP","1MNP3T7ww2",743.849166666667,21.63888889,34.3199182666667,676.901111111111,18.0833333333333,37.33562832
"284","LAecTBJeKS",695.3,24,28.9708333333333,"Cr6mrdgibP","1MNP3T7ww2",881.620833333334,26.6666666666667,32.9408630966667,712.45,24.3333333333333,29.3448518633333
"285","meeGBhzF7r",383.1,12,31.925,"Cr6mrdgibP","1MNP3T7ww2",429.888333333333,10.8333333333333,39.93530818,395.433333333333,11.1666666666667,33.7679102533333
"286","k6ylfBbkB9",1181.5,56,21.0982142857143,"Cr6mrdgibP","1MNP3T7ww2",802.106666666667,29.9166666666667,26.8956080633333,802.973333333333,29.9166666666667,26.9882908133333
"287","9zGLkao1aK",839.6,30,27.9866666666667,"Cr6mrdgibP","4UvNz6j0f2",887.059166666667,29,30.8166273133333,598.121111111111,22.9166666666667,25.8255106233333
"288","NhdGMfDZjR",486.2,17,28.6,"Cr6mrdgibP","4UvNz6j0f2",966.869166666666,40.5,23.9786025466667,686.652222222222,29.3333333333333,23.43257068
"289","xt6wgNhgE2",624.1,20,31.205,"Cr6mrdgibP","4UvNz6j0f2",903.513333333333,24.5833333333333,36.79767131,767.463333333333,21.75,35.6809527933333
"290","yydKWZlMrX",733.4,26,28.2076923076923,"Cr6mrdgibP","4UvNz6j0f2",816.898333333334,22.8333333333333,36.4099070833333,587.5925,17.6944444444444,33.2433756433333
"291","76BYLg0bdJ",209.6,4,52.4,"Cr6mrdgibP","4UvNz6j0f2",450.23,15.6666666666667,28.72700269,390.050833333333,13.6666666666667,28.6709653866667
"292","dE8IHO0DOt",827.9,28,29.5678571428571,"Cr6mrdgibP","4UvNz6j0f2",487.033333333333,17.5,28.2805428366667,407.418055555556,16.4444444444444,24.6198448866667
"293","bFDveLjGIk",0,0,NA,"Cr6mrdgibP","4UvNz6j0f2",335.3625,10.4166666666667,32.67867521,238.739166666667,8.66666666666667,26.93109094
"294","kET1Y78Gdf",1044.3,30,34.81,"Cr6mrdgibP","4UvNz6j0f2",924.265,27.3333333333333,33.92038177,591.309166666667,21.4166666666667,27.2856451166667
"295","MZUSnqda1W",500.5,23,21.7608695652174,"Cr6mrdgibP","mpcNtDuFer",591.141666666667,19.9166666666667,29.3385301766667,654.693888888889,26.1944444444444,25.01769367
"296","448ZRyJfAH",715.1,18,39.7277777777778,"Cr6mrdgibP","mpcNtDuFer",666.109166666667,16.0833333333333,41.3989394066667,554.673333333333,15.0833333333333,36.6228301533333
"297","YnOl4NkcMZ",742.8,26,28.5692307692308,"Cr6mrdgibP","mpcNtDuFer",876.731666666666,27.4166666666667,32.2573550266667,797.021666666667,26.75,29.81529073
"298","lks4FJUGGU",698.3,26,26.8576923076923,"Cr6mrdgibP","mpcNtDuFer",1269.51416666667,38.25,33.1275094166667,678.998333333333,22.8333333333333,29.3166964133333
"299","5LjoB4BCbQ",84.6,3,28.2,"Cr6mrdgibP","mpcNtDuFer",497.27,15.75,31.95746397,345.575,14.25,24.2464969833333
